model,task,auprc_mean,auroc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,confusion_matrix,confusion_matrix_labels
surgvlp,instrument,0.5340979092088058,0.6240341995221026,0.4634408602150538,0.46894879770591347,0.4634408602150538,0.4504643455642606,"[[49 10  7 14]
 [ 8  7  3  4]
 [ 9  3  5  5]
 [11  2  6 10]]","[np.str_('bipolar'), np.str_('clipper'), np.str_('grasper'), np.str_('scissors')]"
surgvlp,verb,0.539979924814069,0.6564251578767709,0.4741935483870968,0.4805888376856119,0.4741935483870968,0.47064657700475276,"[[48 11  3  9]
 [14  6  3  9]
 [ 2  1  3  4]
 [12 10  3 16]]","[np.str_('grasp'), np.str_('retract'), np.str_('clip'), np.str_('cut')]"
surgvlp,target,0.8766062333789038,0.774593582375479,0.8289655172413793,0.7958125552608312,0.8289655172413793,0.8088219563687543,"[[112   5   4]
 [  7   8   0]
 [  9   0   1]]","[np.str_('blood_vessel'), np.str_('peritoneum'), np.str_('cystic_artery')]"
hecvl,instrument,0.5413499019611405,0.6450564516129031,0.43096774193548393,0.41411906109359425,0.43096774193548393,0.4165070027399708,"[[47  8 11 14]
 [ 6  8  4  4]
 [11  3  4  4]
 [17  2  3  7]]","[np.str_('bipolar'), np.str_('clipper'), np.str_('grasper'), np.str_('scissors')]"
hecvl,verb,0.6061944367380694,0.7209001109404335,0.5516129032258064,0.5658016129629033,0.5516129032258064,0.5484828757931225,"[[51  8  6  6]
 [10 13  1  8]
 [ 2  2  3  3]
 [10 10  3 18]]","[np.str_('grasp'), np.str_('retract'), np.str_('clip'), np.str_('cut')]"
hecvl,target,0.8825619349679933,0.7831511494252874,0.8425287356321839,0.8194217506631298,0.8425287356321839,0.8289775128442182,"[[113   3   5]
 [  4  10   1]
 [ 10   0   0]]","[np.str_('blood_vessel'), np.str_('peritoneum'), np.str_('cystic_artery')]"
peskavlp,instrument,0.5801503748847979,0.665218936678614,0.4901075268817204,0.4765650281618024,0.4901075268817204,0.46924675685966005,"[[55  9  8  8]
 [11  7  3  1]
 [11  0  5  6]
 [11  4  6  8]]","[np.str_('bipolar'), np.str_('clipper'), np.str_('grasper'), np.str_('scissors')]"
peskavlp,verb,0.6054453120582581,0.7104885646014679,0.5055913978494624,0.5194950372208436,0.5055913978494624,0.500942858086279,"[[45 17  2  7]
 [14  9  2  7]
 [ 2  2  4  2]
 [10 10  1 20]]","[np.str_('grasp'), np.str_('retract'), np.str_('clip'), np.str_('cut')]"
peskavlp,target,0.9122256886672784,0.8603078544061302,0.8491954022988505,0.834426760978485,0.8491954022988505,0.8350900452134876,"[[114   4   3]
 [  6   8   1]
 [  8   0   2]]","[np.str_('blood_vessel'), np.str_('peritoneum'), np.str_('cystic_artery')]"
videomae_urology,instrument,0.49269295146161846,0.5713115292712065,0.4709677419354839,0.44942261080131846,0.4709677419354839,0.4561689355838411,"[[55  3  9 13]
 [10  6  2  4]
 [ 9  5  5  3]
 [14  5  4  6]]","[np.str_('bipolar'), np.str_('clipper'), np.str_('grasper'), np.str_('scissors')]"
videomae_urology,verb,0.5743076852738637,0.6816681600955795,0.47440860215053765,0.45518397179238085,0.47440860215053765,0.45689782246529437,"[[42 14  1 14]
 [15  9  3  5]
 [ 1  4  2  3]
 [15  5  1 20]]","[np.str_('grasp'), np.str_('retract'), np.str_('clip'), np.str_('cut')]"
videomae_urology,target,0.8405759174234386,0.7144294061302683,0.849425287356322,0.7865210727969348,0.849425287356322,0.8108743434677945,"[[117   4   0]
 [  7   7   1]
 [ 10   0   0]]","[np.str_('blood_vessel'), np.str_('peritoneum'), np.str_('cystic_artery')]"
videomae_cholect45,instrument,0.5912928326494896,0.7088413978494622,0.5298924731182796,0.47799519134442,0.5298924731182796,0.4911558281861887,"[[58  5 11  6]
 [14  5  2  1]
 [ 8  1  9  4]
 [15  2  3  9]]","[np.str_('bipolar'), np.str_('clipper'), np.str_('grasper'), np.str_('scissors')]"
videomae_cholect45,verb,0.5620069275390464,0.6521859532343404,0.48731182795698924,0.4577817207039219,0.48731182795698924,0.4674078567201473,"[[47 11  3 10]
 [14  5  1 12]
 [ 5  0  2  3]
 [ 9  7  4 21]]","[np.str_('grasp'), np.str_('retract'), np.str_('clip'), np.str_('cut')]"
videomae_cholect45,target,0.8584559996580504,0.7744040229885057,0.8285057471264368,0.7940148814481647,0.8285057471264368,0.8074669886315231,"[[113   4   4]
 [  8   7   0]
 [  8   1   1]]","[np.str_('blood_vessel'), np.str_('peritoneum'), np.str_('cystic_artery')]"
