model,task,auprc_mean,auroc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,confusion_matrix,confusion_matrix_labels
surgvlp,instrument,0.5562787619621612,0.6588903823178016,0.4698924731182796,0.4741949338875335,0.4698924731182796,0.4667160796193054,"[[49  9  9 13]
 [ 7  8  2  5]
 [ 9  0  7  6]
 [ 9  6  6  8]]","[np.str_('bipolar'), np.str_('clipper'), np.str_('grasper'), np.str_('scissors')]"
surgvlp,verb,0.5741347270445102,0.6869672725721114,0.49376344086021506,0.5209039823764681,0.49376344086021506,0.4982123491172727,"[[44 17  2  8]
 [13 11  2  6]
 [ 2  2  3  3]
 [10  9  4 18]]","[np.str_('grasp'), np.str_('retract'), np.str_('clip'), np.str_('cut')]"
surgvlp,target,0.8857392074922877,0.8066522030651342,0.8427586206896553,0.817847691538846,0.8427586206896553,0.8278114403501678,"[[112   5   4]
 [  4  10   1]
 [  9   0   1]]","[np.str_('blood_vessel'), np.str_('peritoneum'), np.str_('cystic_artery')]"
hecvl,instrument,0.5440030563495422,0.6495648148148148,0.48365591397849467,0.4541152073732719,0.48365591397849467,0.4617137837213739,"[[55  4  7 14]
 [ 9  7  1  5]
 [11  0  6  5]
 [14  5  4  6]]","[np.str_('bipolar'), np.str_('clipper'), np.str_('grasper'), np.str_('scissors')]"
hecvl,verb,0.5713011857771442,0.6966698668714798,0.5584946236559138,0.5596948578162999,0.5584946236559138,0.5494139223642118,"[[52  9  2  8]
 [11 11  3  7]
 [ 3  2  2  3]
 [12  6  2 21]]","[np.str_('grasp'), np.str_('retract'), np.str_('clip'), np.str_('cut')]"
hecvl,target,0.8575870874638187,0.7306481800766284,0.8358620689655172,0.8136587091069849,0.8358620689655172,0.8219882711705372,"[[112   4   5]
 [  4  10   1]
 [ 10   0   0]]","[np.str_('blood_vessel'), np.str_('peritoneum'), np.str_('cystic_artery')]"
peskavlp,instrument,0.5611885729665811,0.6695663082437274,0.5090322580645161,0.49852471311105084,0.5090322580645161,0.4988597829888152,"[[54  6  9 11]
 [ 7  8  3  4]
 [11  0  6  5]
 [10  4  5 10]]","[np.str_('bipolar'), np.str_('clipper'), np.str_('grasper'), np.str_('scissors')]"
peskavlp,verb,0.5674194238182466,0.6760688684075781,0.5387096774193548,0.5508646526711043,0.5387096774193548,0.537778416157334,"[[47 13  3  8]
 [13  9  3  7]
 [ 3  2  3  2]
 [ 7  9  1 24]]","[np.str_('grasp'), np.str_('retract'), np.str_('clip'), np.str_('cut')]"
peskavlp,target,0.8972786052305286,0.8393446360153257,0.8491954022988505,0.8230712250712251,0.8491954022988505,0.8303828650823724,"[[114   3   4]
 [  5   9   1]
 [  9   0   1]]","[np.str_('blood_vessel'), np.str_('peritoneum'), np.str_('cystic_artery')]"
videomae_urology,instrument,0.5512976670763301,0.6321829450418159,0.48408602150537633,0.4960963964295633,0.48408602150537633,0.4749374968843969,"[[54  6  6 14]
 [10  8  2  2]
 [ 8  3  6  5]
 [15  5  3  6]]","[np.str_('bipolar'), np.str_('clipper'), np.str_('grasper'), np.str_('scissors')]"
videomae_urology,verb,0.5808205361986076,0.7006244666325312,0.48731182795698924,0.46318444995864355,0.48731182795698924,0.46910607834588725,"[[45 12  1 13]
 [18  8  1  5]
 [ 0  3  3  4]
 [14  6  2 19]]","[np.str_('grasp'), np.str_('retract'), np.str_('clip'), np.str_('cut')]"
videomae_urology,target,0.8676526000416395,0.7613504789272031,0.8903448275862068,0.863050397877984,0.8903448275862068,0.8715883962780515,"[[117   3   1]
 [  4  11   0]
 [  8   0   2]]","[np.str_('blood_vessel'), np.str_('peritoneum'), np.str_('cystic_artery')]"
videomae_cholect45,instrument,0.6204865302759265,0.7289668458781361,0.5363440860215054,0.5064726363663745,0.5363440860215054,0.5134279312647434,"[[58  7 10  5]
 [ 9  7  3  3]
 [ 8  4  7  3]
 [14  3  2 10]]","[np.str_('bipolar'), np.str_('clipper'), np.str_('grasper'), np.str_('scissors')]"
videomae_cholect45,verb,0.5315192036738791,0.642426181942311,0.47397849462365593,0.4622469284879152,0.47397849462365593,0.46108469122599516,"[[47 11  5  8]
 [14  5  1 12]
 [ 5  0  2  3]
 [10  7  5 19]]","[np.str_('grasp'), np.str_('retract'), np.str_('clip'), np.str_('cut')]"
videomae_cholect45,target,0.8746134790910544,0.7875530651340996,0.8558620689655173,0.8161789618011506,0.8558620689655173,0.8324196652493228,"[[115   3   3]
 [  6   9   0]
 [  8   1   1]]","[np.str_('blood_vessel'), np.str_('peritoneum'), np.str_('cystic_artery')]"
