model,task,auprc_mean,auroc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,confusion_matrix,confusion_matrix_labels
pe224,instrument,0.3132355809383913,0.7109771174756726,0.3036171685704396,0.30351258252787233,0.3036171685704396,0.29554733451366433,"[[ 1  1  0  9  5  1  7  0  1  2]
 [ 3  3  1  3  6  4  6  0  1  0]
 [ 1  1 14  4  5  5  3  4  1  4]
 [ 5  6  7 22 18  8 23  3  5  3]
 [ 3  2 13 16 38  6 11  3  2  4]
 [ 2  6  3 10 11 24 10  1  1  2]
 [ 6  4  1 12 11  7 35  0  2  2]
 [ 0  1  3  4  5  1  1  8  0  6]
 [ 0  3  0  7  7  2  4  0  2  0]
 [ 2  0  5  3  5  3  0  5  0 16]]","[np.str_('clip'), np.str_('scissors'), np.str_('stitch'), np.str_('None'), np.str_('left_hand'), np.str_('fourth_arm'), np.str_('energy_device'), np.str_('suture_material'), np.str_('retractor'), np.str_('needle')]"
pe224,action,0.17649806719375,0.6297050934773696,0.17362041467304626,0.17156140799627145,0.17362041467304626,0.16592093890701348,"[[ 2  3  7  0  4  0  3  3  0  2  5  2  7  2  1  3  1  2 10]
 [ 3  1  3  0  2  0  5  2  2  2  6  6  1  0  1  2  1  1  6]
 [ 5  1 12  2  3  1  9  4  3  4  3  9  8  4  1  7  2  6 16]
 [ 3  2  2  3  0  1  4  0  3  1  2  1  0  1  0  0  1  0  1]
 [ 2  0  2  1 10  0  0  0  2  1  1  0  3  3  2  2  2  2  9]
 [ 0  0  2  2  0  1  2  1  0  0  4  3  1  0  0  5  1  2  0]
 [ 1  2 12  3  1  0 22  2  4  2  3  7  1  6  2  3  4  2  4]
 [ 2  0  8  1  0  0  3  7  1  0  2  3  1  1  1  1  0  1  4]
 [ 1  0  4  1  1  1  4  1  2  4  0  0  0  1  1  3  2  0  5]
 [ 0  1  4  1  0  0  1  0  2  6  1  3  0  3  1  1  2  2  5]
 [ 1  0  3  1  1  1  5  2  1  3 25  2  0  1  0 10  4  2  7]
 [ 3  6  4  0  0  0  8  2  0  5  5  7  2  2  1  5  1  2  4]
 [ 5  1  5  1  5  0  2  0  2  1  0  1  7  2  3  2  0  5 10]
 [ 1  0  9  1  2  0  6  0  2  1  3  0  4  1  1  1  1  2  4]
 [ 1  3  3  0  2  0  0  0  0  0  1  1  1  2  1  3  3  0  4]
 [ 3  4  7  2  1  0  6  2  2  0 14  2  2  1  3 27  4  1  5]
 [ 1  4  4  2  0  1  2  1  1  1  4  6  2  0  1  5  3  2 12]
 [ 3  1  9  1  2  1  2  2  3  1  5  2  3  4  0  1  1  6  3]
 [ 9  3 16  1  7  0 12  3  4  5  3  8 11  2  6  7  3  6 39]]","[np.str_('navigate_space'), np.str_('adjust_direction'), np.str_('None'), np.str_('spread'), np.str_('turn'), np.str_('dissect'), np.str_('open'), np.str_('cut'), np.str_('continue_action'), np.str_('release_instrument'), np.str_('perform_sweeping_maneuvers'), np.str_('ensure_safety'), np.str_('apply_traction'), np.str_('inspect'), np.str_('adjust'), np.str_('coagulate'), np.str_('control_depth'), np.str_('stop'), np.str_('grasp')]"
pe224,tissue,0.3772189454423207,0.7458796808774656,0.36531647746818025,0.3422970387491072,0.36531647746818025,0.32910392556083884,"[[13  0  6  4  1  0  6  0  7  1  2]
 [ 0  3  9  0  0  0 10  1  2  0  4]
 [ 1  3 78  7  3  0 23 12  6  0  8]
 [ 2  0 11 43  0  0 12  4  7  0 12]
 [ 1  1  1  5  3  0  6  2  4  0  4]
 [ 4  1  3  1  1  5  0  0  5  0  1]
 [ 6  2 30 18  2  0 82  1  8  0 13]
 [ 0  0 11  8  0  0  4 19  6  0  1]
 [ 5  3 19 12  3  1 23  7 17  1  9]
 [ 3  1  2  3  0  0 11  0  0  0  0]
 [ 1  3 16 16  0  3 18  3  5  1 15]]","[np.str_('gi_tract'), np.str_('adrenal_kidney_region'), np.str_('vascular_and_major_vessels'), np.str_('prostate_tissue'), np.str_('muscle_capsule'), np.str_('peritoneum_abdominal_wall'), np.str_('ureter_bladder_urethra'), np.str_('seminal_vesicle_vas'), np.str_('None'), np.str_('fat_fascia_planes'), np.str_('miscellaneous')]"
surgvlp,instrument,0.28439431051416353,0.6878807471461721,0.26445136725510554,0.2684544035331049,0.26445136725510554,0.2592601520886789,"[[ 4  2  1  6  4  2  6  0  0  2]
 [ 2  5  0  2  5  5  4  0  4  0]
 [ 1  1 17  6  4  6  2  2  0  3]
 [ 7  6  8 26 13 10 20  3  5  2]
 [ 3  6 10 17 29 13  9  3  4  4]
 [ 1  5  5 11 10 22  6  5  3  2]
 [ 6  8  2 26  8 10 16  2  2  0]
 [ 0  1  4  5  1  4  0  9  0  5]
 [ 0  3  0  8  3  3  4  2  2  0]
 [ 1  1  9  2  7  2  0  5  0 12]]","[np.str_('clip'), np.str_('scissors'), np.str_('stitch'), np.str_('None'), np.str_('left_hand'), np.str_('fourth_arm'), np.str_('energy_device'), np.str_('suture_material'), np.str_('retractor'), np.str_('needle')]"
surgvlp,action,0.17291715599416776,0.6242806842029264,0.1869993164730007,0.17406282544751114,0.1869993164730007,0.17583823165434634,"[[ 2  2  4  2  4  1  4  3  1  2  7  1  5  1  1  3  0  5  9]
 [ 5  1  7  0  0  1  6  4  1  2  4  1  0  0  0  6  2  1  3]
 [ 4  6  9  3  3  1  8  1  3  5  3  7  6  3  1 11  6  8 12]
 [ 0  3  3  5  0  1  2  0  1  0  3  1  0  0  0  1  0  1  4]
 [ 4  2  2  0 17  0  0  0  1  1  1  0  1  1  1  0  2  2  7]
 [ 1  1  4  0  1  1  3  1  0  2  1  2  0  0  0  2  2  1  2]
 [ 1  2 11  1  1  0 22  1  4  0  6  3  3  2  0  6  5  4  9]
 [ 4  0  3  0  0  1  5  6  0  0  3  1  0  0  2  3  0  1  7]
 [ 3  1  1  0  0  0  3  0  3  4  2  3  0  1  0  4  0  1  5]
 [ 1  2  7  0  0  2  1  1  2  6  1  1  0  1  0  1  4  2  1]
 [ 2  3  2  2  0  0  4  1  0  0 20  5  1  2  1 12  3  3  8]
 [ 4  4  4  1  1  2  9  3  1  0  4  4  1  0  2  5  0  2 10]
 [ 3  2  7  0  4  0  3  0  2  0  1  1 13  3  1  1  2  0  9]
 [ 3  0  5  2  2  1  5  2  2  1  3  4  2  2  0  1  0  0  4]
 [ 1  0  2  0  2  0  0  4  0  0  1  0  3  0  1  1  2  1  7]
 [ 3  2  6  0  0  2  5  2  3  2 12  3  0  0  2 26  4  3 11]
 [ 2  1  5  2  2  1  4  0  5  3  4  0  3  3  2  2  6  4  3]
 [ 1  1 10  0  2  1  1  0  1  1  3  2  0  1  1  5  2 13  5]
 [ 8  3 17  1  7  2  6  4  6  3  3  9 11  2  4 10  6  4 39]]","[np.str_('navigate_space'), np.str_('adjust_direction'), np.str_('None'), np.str_('spread'), np.str_('turn'), np.str_('dissect'), np.str_('open'), np.str_('cut'), np.str_('continue_action'), np.str_('release_instrument'), np.str_('perform_sweeping_maneuvers'), np.str_('ensure_safety'), np.str_('apply_traction'), np.str_('inspect'), np.str_('adjust'), np.str_('coagulate'), np.str_('control_depth'), np.str_('stop'), np.str_('grasp')]"
surgvlp,tissue,0.3438252629026724,0.7285765711849003,0.3390178878568971,0.3385598909436141,0.3390178878568971,0.32963858213862846,"[[11  0  2  1  2  1  9  0  8  0  6]
 [ 0  3  4  0  0  3  7  1  5  0  6]
 [ 1  5 62  5  1  1 25 11 19  1 10]
 [ 1  0  4 37  2  0 15  4  9  3 16]
 [ 1  0  4  4  5  1  5  1  5  0  1]
 [ 2  2  1  1  0  6  3  0  2  0  4]
 [ 3  5 17 17  2  2 73  2 24  3 14]
 [ 0  1  6  7  1  0  1 28  4  0  1]
 [ 2  5 20 11  3  3 18  5 17  1 15]
 [ 2  1  0  3  1  0  4  0  6  1  2]
 [ 2  5  9 16  1  6 18  3  6  0 15]]","[np.str_('gi_tract'), np.str_('adrenal_kidney_region'), np.str_('vascular_and_major_vessels'), np.str_('prostate_tissue'), np.str_('muscle_capsule'), np.str_('peritoneum_abdominal_wall'), np.str_('ureter_bladder_urethra'), np.str_('seminal_vesicle_vas'), np.str_('None'), np.str_('fat_fascia_planes'), np.str_('miscellaneous')]"
hecvl,instrument,0.30395515962289715,0.7123972733565095,0.2644167532017999,0.2607479656290593,0.2644167532017999,0.25663018318512665,"[[ 3  1  1  6  5  3  5  0  1  2]
 [ 1  8  0  3  4  5  4  1  1  0]
 [ 4  1  6  7  8  4  2  5  0  5]
 [ 6  6  7 23 17  7 23  1  5  5]
 [ 3  3  6 15 40  5 10  4  5  7]
 [ 3  3  4 10 12 18 13  2  2  3]
 [ 8  5  2 18 12  9 22  0  3  1]
 [ 0  1  3  3  2  5  0  9  0  6]
 [ 2  4  0  9  3  1  4  0  2  0]
 [ 2  0  5  6  6  3  1  5  0 11]]","[np.str_('clip'), np.str_('scissors'), np.str_('stitch'), np.str_('None'), np.str_('left_hand'), np.str_('fourth_arm'), np.str_('energy_device'), np.str_('suture_material'), np.str_('retractor'), np.str_('needle')]"
hecvl,action,0.17319974116670372,0.6176918041028696,0.1688630667578036,0.16813877640329242,0.1688630667578036,0.16159483645126432,"[[ 2  5  3  1  3  1  5  1  2  1  4  2  6  2  2  3  3  0 11]
 [ 7  1  6  0  2  0  5  1  0  1  4  4  0  1  1  3  2  1  5]
 [ 3  5 13  2  0  0 11  3  2  4  4  5  6  4  0  7  6  5 20]
 [ 3  1  0  5  0  0  3  0  2  0  1  3  1  2  0  2  0  0  2]
 [ 6  2  5  1 10  0  2  0  1  0  1  0  2  2  0  0  1  1  8]
 [ 4  3  0  0  0  3  4  1  0  1  1  3  0  0  0  3  1  0  0]
 [ 2  4 14  0  1  0 24  2  2  0  4  5  2  4  2  7  1  1  6]
 [ 2  2  3  0  1  1  4  7  0  0  1  4  1  0  1  4  3  0  2]
 [ 2  3  0  0  0  0  5  1  2  4  2  1  1  1  0  1  0  1  7]
 [ 2  1  4  0  0  0  2  3  4  4  0  1  0  2  0  0  6  1  3]
 [ 4  0  4  1  2  0  0  2  0  1 23  7  1  2  0  8  5  2  7]
 [ 3  4  7  0  0  1  9  3  2  0  4  1  2  2  0  5  2  4  8]
 [ 4  1  6  0  4  0  0  0  2  0  1  3  8  4  0  3  2  1 13]
 [ 4  0  4  2  2  0  5  0  1  1  3  1  6  3  0  2  1  1  3]
 [ 2  2  1  0  2  0  1  5  0  0  0  0  1  0  2  2  1  0  6]
 [ 1  2  9  0  1  3  8  1  2  1 11  4  2  3  1 19  6  2 10]
 [ 3  1  5  0  1  2  5  0  1  3  2  2  2  5  0  4  5  2  9]
 [ 4  1  4  0  2  3  4  0  0  1  2  0  2  1  0  4  3 11  8]
 [10  4 16  4  5  2  9  3  4  2  6  6 10  6  5 12  3  4 34]]","[np.str_('navigate_space'), np.str_('adjust_direction'), np.str_('None'), np.str_('spread'), np.str_('turn'), np.str_('dissect'), np.str_('open'), np.str_('cut'), np.str_('continue_action'), np.str_('release_instrument'), np.str_('perform_sweeping_maneuvers'), np.str_('ensure_safety'), np.str_('apply_traction'), np.str_('inspect'), np.str_('adjust'), np.str_('coagulate'), np.str_('control_depth'), np.str_('stop'), np.str_('grasp')]"
hecvl,tissue,0.3593329683761294,0.7353071481583635,0.37059683522531817,0.3604362273637729,0.37059683522531817,0.3518044179072706,"[[ 9  0  3  3  1  2 14  0  4  2  2]
 [ 0  3  6  0  1  2  4  1  9  0  3]
 [ 0  3 66  4  2  1 29 14 14  2  6]
 [ 1  0  4 41  4  0 14  5  4  4 14]
 [ 2  0  0  6  3  1  3  1  6  1  4]
 [ 1  1  2  1  0  4  6  0  3  0  3]
 [ 4  1 14 14  1  5 93  0 17  1 12]
 [ 0  1  2  3  0  0  1 33  5  1  3]
 [ 6  2 14 10  5  4 24 10 15  1  9]
 [ 2  0  2  3  1  0  6  0  4  2  0]
 [ 1  4 12 11  2  5 21  5  7  0 13]]","[np.str_('gi_tract'), np.str_('adrenal_kidney_region'), np.str_('vascular_and_major_vessels'), np.str_('prostate_tissue'), np.str_('muscle_capsule'), np.str_('peritoneum_abdominal_wall'), np.str_('ureter_bladder_urethra'), np.str_('seminal_vesicle_vas'), np.str_('None'), np.str_('fat_fascia_planes'), np.str_('miscellaneous')]"
peskavlp,instrument,0.31485298236264225,0.7090737826716517,0.3053478712357217,0.32050522335901926,0.3053478712357217,0.3012213724867857,"[[ 1  0  2  7  9  1  3  0  2  2]
 [ 3  4  0  5  7  3  3  0  2  0]
 [ 0  0 15  6  6  7  2  0  1  5]
 [ 7  7  9 30 16 10 16  2  3  0]
 [ 3  4  5 23 29  5 10  6  6  7]
 [ 4  6  4 11 11 23  7  1  2  1]
 [ 5  2  4 20 10  7 29  1  2  0]
 [ 0  0  9  2  3  3  0 11  1  0]
 [ 1  2  0  4  3  2  5  1  6  1]
 [ 1  0  7  2  6  4  0  3  0 16]]","[np.str_('clip'), np.str_('scissors'), np.str_('stitch'), np.str_('None'), np.str_('left_hand'), np.str_('fourth_arm'), np.str_('energy_device'), np.str_('suture_material'), np.str_('retractor'), np.str_('needle')]"
