model,task,auprc_mean,auroc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,confusion_matrix,confusion_matrix_labels
pe224,instrument,0.3533336449335651,0.7001278761499168,0.334527736131934,0.3417771285342284,0.334527736131934,0.3294600261484748,"[[44  2 23  6  6 17 13  7]
 [ 6  5  0  4  3  4  2  3]
 [20  1 63  9  5 14  3  1]
 [ 8  4 12 21  3  8 13  1]
 [ 2  2  4  1  4  5  9  0]
 [15  7 19  6  5 21 20  7]
 [15  5  5  6  6 15 35  3]
 [ 9  4  1  1  0  5  9  0]]","['hand_control', 'surgical_scissors', 'suturing_tools', 'auxiliary_arm', 'clip_device', 'None', 'energy_device', 'retractor_device']"
pe224,action,0.1851106066445475,0.6267646272414634,0.184511008704557,0.1819785179593386,0.184511008704557,0.178574869152488,"[[18  2  4  1  1 11  8  4  2  0  1  3  1  1  1 11]
 [ 4  5  8  5  0 11 11  3  0  2  0  1  1  2  0  4]
 [ 4  5 25  3  1 18 12  3  2 10  0  7  7  5  1  3]
 [ 0  2  5  7  2  8  3  2  1  6  2  1  0  0  0  1]
 [ 2  3  4  2  2  0  5  1  0  2  0  0  0  1  0  3]
 [ 6  6 12  2  1 40 16  6 15 12  2  3  4  2 18  5]
 [11  6 16  7  5 22 26 13  8  8  3  4  5  9 10  7]
 [ 4  3  1  0  2  7  5 11  2  8  1  1  5  2  5  0]
 [ 2  0  2  0  1 17  8  2  5  3  0  2  0  1  6  2]
 [ 2  6  5  5  2 16 17  7  2 14  4  4  1  6  4  5]
 [ 1  0  1  1  0  7  2  1  2  2  3  0  0  2  2  2]
 [ 3  2  4  0  1  6  5  1  2  8  1  1  1  1  3  0]
 [ 0  1  4  4  1  5  4  0  1  2  1  1  2  1  2  2]
 [ 1  1  2  0  0  6  6  3  2  3  0  1  1  6  0  1]
 [ 1  0  4  1  0 11  5  4  7  4  3  1  1  0 10  2]
 [10  4  6  2  2 11 11  4  0  5  3  0  2  1  0 25]]","['sweeping_maneuvers', 'ensure_safety', 'open_spread', 'cut_divide', 'dissect_clean', 'grip_hold', 'navigate_position', 'interrupt_action', 'rotate_turn', 'None', 'adjust_fix', 'inspect', 'continue_action', 'release_instrument', 'traction_retract', 'coagulate']"
pe224,tissue,0.3724127288845156,0.7386235342987667,0.3651447477253929,0.3617177214252364,0.3651447477253929,0.3507977665581623,"[[ 9  5  1  2  5  7  4  0  3  5]
 [ 3 13  1  0  3  9  3  0  5  3]
 [ 1  2  5  1  3  7  1  3  1  3]
 [ 3  0  0  6  0  8  4  1  2  5]
 [ 1  2  1  0 28 16 11  5 13 14]
 [ 3  6  5  7 12 76 20  4 12 17]
 [ 3  1  2  1  8 24 82 14  9 14]
 [ 0  0  1  1  5  4  4 30  2  2]
 [ 5  5  4  3 11 24 18  9 13  8]
 [ 3  1  3  3 10 17 13  3  6 22]]","['fat_fascial_peritoneal_planes', 'gastrointestinal_tract', 'muscular_capsular_structures', 'retroperitoneal_structures', 'prostate', 'urinary_tract', 'vascular_neurovascular_structures', 'seminal_vesicle_vas', 'None', 'miscellaneous']"
surgvlp,instrument,0.3476207185603258,0.6883000043160911,0.3587256371814093,0.3579643590608831,0.3587256371814093,0.3494231500272056,"[[40  3 26 12  6 15 11  5]
 [10  4  1  4  1  2  2  3]
 [11  2 73 11  4 10  3  2]
 [11  2 10 26  4  8  6  3]
 [ 8  1  4  3  4  4  3  0]
 [10  4 18 10  4 25 22  7]
 [12  4  3  9  5 22 31  4]
 [ 5  2  2  2  1  7  6  4]]","['hand_control', 'surgical_scissors', 'suturing_tools', 'auxiliary_arm', 'clip_device', 'None', 'energy_device', 'retractor_device']"
surgvlp,action,0.1818213329482628,0.620472048970153,0.1771292029356545,0.1757914178283672,0.1771292029356545,0.1724722136908417,"[[15  4  6  0  2  6 15  4  3  3  2  1  1  0  1  6]
 [ 4  0  4  3  0 14  7  5  1  8  1  1  1  0  3  5]
 [11  3 29  2  0 11 13  5  0 10  1  6  4  2  2  7]
 [ 1  5  4  4  0  5  8  1  0  5  1  1  3  0  1  1]
 [ 1  0  3  1  2  2  9  0  1  2  0  1  0  1  0  2]
 [ 6 10 12  3  1 38 16  8  7 12  3  6  4  4 12  8]
 [11  7 14  4  6 22 26  8  8 18  1  3  3  8  7 14]
 [ 3  2  5  0  0  8  9 14  1  5  0  1  1  2  3  3]
 [ 1  1  1  2  0 12 10  2  9  3  1  1  2  0  5  1]
 [ 1  6 11  4  0 15 16  7  4  8  0  4  3  5  6 10]
 [ 3  1  2  0  1  6  6  1  1  1  3  0  0  0  1  0]
 [ 4  0  4  0  0 10  5  1  0  4  1  1  1  2  6  0]
 [ 1  0  3  1  0  6  6  1  1  3  1  2  2  1  1  2]
 [ 2  2  3  1  0  3  7  2  1  7  0  0  0  4  0  1]
 [ 0  1  1  1  2 12  6  2  3  5  0  3  2  2 12  2]
 [ 8  7  6  1  0 11 14  2  2  6  1  1  1  0  1 25]]","['sweeping_maneuvers', 'ensure_safety', 'open_spread', 'cut_divide', 'dissect_clean', 'grip_hold', 'navigate_position', 'interrupt_action', 'rotate_turn', 'None', 'adjust_fix', 'inspect', 'continue_action', 'release_instrument', 'traction_retract', 'coagulate']"
surgvlp,tissue,0.3624200875250766,0.7337246730466511,0.3574193548387097,0.3627319613953046,0.3574193548387097,0.3510853764591657,"[[ 8  4  1  5  6  9  2  1  2  3]
 [ 2  9  1  0  2 11  2  0  7  6]
 [ 0  0  5  1  5  5  5  2  1  3]
 [ 2  0  1  7  0  5  3  1  6  4]
 [ 3  0  3  0 30 14  3  6 16 16]
 [ 5  3  4  4 11 77 19  3 18 18]
 [ 1  0  2  2  4 26 81 10 14 18]
 [ 0  0  1  1  6  0  2 29  5  5]
 [ 3  2  3  5 13 22 19  8 15 10]
 [ 4  1  1  0 12 17 14  4 11 17]]","['fat_fascial_peritoneal_planes', 'gastrointestinal_tract', 'muscular_capsular_structures', 'retroperitoneal_structures', 'prostate', 'urinary_tract', 'vascular_neurovascular_structures', 'seminal_vesicle_vas', 'None', 'miscellaneous']"
hecvl,instrument,0.3486766641575599,0.6999198287206588,0.3467316341829085,0.3433619590887465,0.3467316341829085,0.3354122591699636,"[[46  1 23  7  3 20  9  9]
 [ 5  5  0  4  2  5  2  4]
 [ 9  0 75  9  4 14  4  1]
 [17  3  9 18  3 10  9  1]
 [ 4  2  4  4  2  6  4  1]
 [21  4 12  9  6 25 18  5]
 [14  4  5  8  3 22 28  6]
 [ 8  3  3  1  2  4  7  1]]","['hand_control', 'surgical_scissors', 'suturing_tools', 'auxiliary_arm', 'clip_device', 'None', 'energy_device', 'retractor_device']"
hecvl,action,0.1751391879124424,0.6137865220694451,0.1881933777095067,0.1870201484520231,0.1881933777095067,0.1833295197591425,"[[18  2  9  2  1  8 10  2  0  4  0  2  0  1  0 10]
 [ 4  1  7  1  1 11 10  5  1  5  0  0  1  0  2  8]
 [ 5  2 32  3  1 10 16  4  2  8  1  7  4  1  1  9]
 [ 4  3  3  4  2  7  7  1  0  2  1  0  2  1  0  3]
 [ 1  2  3  2  3  3  6  1  0  1  1  0  0  0  0  2]
 [ 9  4 11  6  3 39 24  3  5 14  5  6  6  1  7  7]
 [11 10 14  4  2 21 30  6  9 21  5  2  5  4  7  9]
 [ 3  3  9  0  0  4 12  8  1  5  2  0  1  1  4  4]
 [ 2  0  1  1  0 12 13  3  7  3  2  0  1  2  3  1]
 [ 6  6 10  0  1  8 16  4  3 17  1  1  3 11  6  7]
 [ 2  1  1  0  1  2  7  2  2  1  4  2  0  1  0  0]
 [ 3  1  9  1  0  6  3  1  3  3  0  1  1  3  3  1]
 [ 0  2  4  2  0  6  5  0  0  6  0  1  2  1  0  2]
 [ 1  1  2  2  1  2  8  2  1  6  0  1  0  5  0  1]
 [ 0  1  0  1  0 12 11  2  6  6  1  1  2  0  9  2]
 [ 6  4 10  0  3 10 13  2  1  9  1  1  2  0  0 24]]","['sweeping_maneuvers', 'ensure_safety', 'open_spread', 'cut_divide', 'dissect_clean', 'grip_hold', 'navigate_position', 'interrupt_action', 'rotate_turn', 'None', 'adjust_fix', 'inspect', 'continue_action', 'release_instrument', 'traction_retract', 'coagulate']"
hecvl,tissue,0.3722988914704638,0.7455580103322678,0.384449958643507,0.3832367103717086,0.384449958643507,0.3767791865443984,"[[10  4  2  1  4  7  4  0  3  6]
 [ 4  9  0  0  3  9  2  0  8  5]
 [ 3  1  4  0  5  3  1  1  6  3]
 [ 3  1  0  6  0  5  7  0  3  4]
 [ 4  1  4  0 43  9  1  8  7 14]
 [ 5  5  4 10 12 64 24  1 15 22]
 [ 3  0  2  0  2 18 96 11 10 16]
 [ 0  0  0  1  4  1  5 31  4  3]
 [ 5  5  7  5  9 19 15  6 18 11]
 [ 3  3  0  5 11 16 13  4  8 18]]","['fat_fascial_peritoneal_planes', 'gastrointestinal_tract', 'muscular_capsular_structures', 'retroperitoneal_structures', 'prostate', 'urinary_tract', 'vascular_neurovascular_structures', 'seminal_vesicle_vas', 'None', 'miscellaneous']"
peskavlp,instrument,0.3613247282042304,0.7002420449602175,0.346671664167916,0.3493301859849302,0.346671664167916,0.341130886626411,"[[37  4 20 11  4 21 12  9]
 [ 5  4  0  4  2  6  2  4]
 [18  1 66  9  3 14  4  1]
 [14  4 11 18  3 10  9  1]
 [ 6  1  4  3  3  6  3  1]
 [13  6 13 12  6 26 20  4]
 [14  3  2  6  2 19 39  5]
 [ 5  2  0  3  1  5  6  7]]","['hand_control', 'surgical_scissors', 'suturing_tools', 'auxiliary_arm', 'clip_device', 'None', 'energy_device', 'retractor_device']"
